Result Number;Titolo;Descrizione;Immagine;Data;Link
1;MUSICA, MAESTRI! - UN LIBRO PER UN CONCERTO;Nell'ambito delle attività culturali per le festività natalizie e di capodanno sostenute dal Comune di Palermo, in cartellone 7 concerti di musica sacra, antica, corale, polifonica, della tradizione popolare e natalizia.;http://www.comune.palermo.it/img/news/corale.png;27-DIC-13;http://www.comune.palermo.it/noticext.php?id=3304
2;GESUITI SICILIANI DEL '600 IN CINA;Gesuiti Siciliani del '600 nel Celeste Impero relazioni di lunga data tra Sicilia e Cina - Galleria d'Arte Moderna Via Sant' Anna, 21 giorno 27 Dicembre ore 9:30.;http://www.comune.palermo.it/img/news/gesuiti_siciliani.png;27-DIC-13;http://www.comune.palermo.it/noticext.php?id=3297
3;MOSTRA DI PITTURA DOMENICO GIACALONE;"""Dipingere è come percorrere una strada... Colori, odori, sensazioni...un viaggio dal corpo alla mente passando dall'anima..."" Dal 21 al 31 dicembre 2013 Galleria di Villa Niscemi P.zza dei Quartieri,2 Palermo";http://www.comune.palermo.it/img/news/do_gioior.png;21-DIC-13;http://www.comune.palermo.it/noticext.php?id=3221
4;SI RINNOVA LA TRADIZIONE DEL CONCERTO DI CAPODANNO;In programma un’antologia di pagine del repertorio classico, dell’operetta e del cinema;http://www.comune.palermo.it/img/news/massimo_03.png;20-DIC-13;http://www.comune.palermo.it/noticext.php?id=3225
5;NATALE IN MUSICA;Noa e l'Orchestra Sinfonica Giovanile del Conservatorio Vincenzo Bellini;http://www.comune.palermo.it/img/news/Noa.png;18-DIC-13;http://www.comune.palermo.it/noticext.php?id=3216
6;MOSTRA TRIBUTE;"TRIBUTE - "" Creare è dare forma al proprio destino” - 21 dicembre 2013 – 31 gennaio 2014 Palazzo Ziino Palermo Via Dante 53";http://www.comune.palermo.it/img/news/tribute.png;18-DIC-13;http://www.comune.palermo.it/noticext.php?id=3262
7;PRESENTAZIONE DEL LIBRO-IL FILO DI ARIANNA;"Presentazione del libro di poesie dal titolo: "" Il Filo di Arianna"" di Maria Cristina Pensovecchio presso la sala convegni di Palazzo Ziino in via Dante 53 il giorno 19 Dicembre 2013 dalle ore 17,30 alle ore 19,30. Presenta: Maria Cubito - Letture a cura di Stefania Blandeburgo - Accompagnamento musicale: Romina Copernico (Arpa)";http://www.comune.palermo.it/img/news/filo_arianna.png;16-DIC-13;http://www.comune.palermo.it/noticext.php?id=3243
8;CONCERTO DI NATALE;"Concerto di Natale presso la chiesa del SS. Salvatore a Palermo 14 dicembre ore 21.15 - Gliarchiensemble - Mario Stefano Pietrodarchi, Pamela Chiarico e Salvatore Scinardi - Coro Lirico ""Conca d'Oro"" diretto da Domenico Guzzardo.";http://www.comune.palermo.it/img/news/concerto_natale.png;14-DIC-13;http://www.comune.palermo.it/noticext.php?id=3152
9;PROSA TEATRO CRYSTAL;"Nell’ambito della rassegna teatrale curata dal Comune di Palermo il Teatro Crystal, Via Mater Dolorosa 64/a, offrirà nei prossimi giorni due importanti appuntamenti con il teatro tradizionale di prosa: ""Oggi Pirandello"" da mercoledì 11 a domenica 15 dicembre";http://www.comune.palermo.it/img/news/teatro_cristal.jpg;11-DIC-13;http://www.comune.palermo.it/noticext.php?id=3220
10;PERSONALE DI ROSARIO LO RE;AFRIKA - Personale dell'Artista Rosario Lo Re dal 13 al 19 dicembre 2013. Villa Niscemi, P.zza dei Quartieri, 2 Palermo - giorni feriali dalle 9.30 alle 13.30 e dalle 16.30 alle19.30 - domenica dalle 9.30 alle 12.30;http://www.comune.palermo.it/img/news/mostra_africa.jpg;10-DIC-13;http://www.comune.palermo.it/noticext.php?id=3215
11;DA PALERMO A NEW ORLEANS... E FU SUBITO JAZZ;""" da Palermo a New Orleans... e fu subito Jazz"" di Renzo Arbore. La manifestazione si svolgerà venerdì 13 dicembre alle ore 20,00 presso i Cantieri Culturali alla Zisa. INGRESSO LIBERO A INVITI FINO A ESAURIMENTO POSTI";http://www.comune.palermo.it/img/news/subito_jazz.jpg;06-DIC-13;http://www.comune.palermo.it/noticext.php?id=3200
12;MOSTRA MARCELLO F. CALIRI;Mostra pittorica del Maestro Marcello F. Caliri - Sotto il cielo di Palermo - oli e grafiche - Villa Niscemi p.zza dei Quartieri, 2 Palermo dal 6 al 12 dicembre 2013 - 10.00 13.00 e 16.30 19.30 festivi 10.00 13.00;http://www.comune.palermo.it/img/news/mostra_marcello_caliri.png;06-DIC-13;http://www.comune.palermo.it/noticext.php?id=3188
